np,title,date,appends,subindex_count
http://np.inn.ac/RAXFlG04YMi1A5su7oF6emA8mSp6HwyS3mFTVYreDeZRg,Nanopubs converted from neXtProt protein data (preliminary),2015-03-09T18:05:11.925-07:00,http://np.inn.ac/RAVDgfAMLDr7Tb-OZQMjxAu59Azr_PI3RN4R51Z9k-a5M,0
http://np.inn.ac/RAXy332hxqHPKpmvPc-wqJA7kgWiWa-QA0DIpr29LIG0Q,Nanopubs extracted from DisGeNET v2.1.0.0,2015-03-04T16:49:45.795-08:00,http://np.inn.ac/RAUNxsi9pvcyvUNjUORieL3h0hNYOhX6vgUbp-jMC0UEM,0
http://np.inn.ac/RAR5dwELYLKGSfrOclnWhjOj-2nGZN_8BW1JjxwFZINHw,Nanopubs converted from OpenBEL's Small and Large Corpus 20131211,2015-03-04T13:54:32.295-08:00,,2
http://np.inn.ac/RACy0I4f_wr62Ol7BhnD5EkJU6Glf-wp0oPbDbyve7P6o,Nanopubs converted from OpenBEL's Small and Large Corpus 1.0,2015-03-04T13:54:31.490-08:00,,2
http://np.inn.ac/RAY_lQruuagCYtAcKAPptkY7EpITwZeUilGHsWGm9ZWNI,AIDA Nanopubs extracted from GeneRIF,2015-03-04T10:39:03.941-08:00,http://np.inn.ac/RAuOJNR2pardA59l-d_eUnl7gRLr_vYfXb1vsGuaKwuis,0
http://np.inn.ac/RAVEEQwjHbSgw0a7WIZhVkVHOnbfTGY7HNTSDGbrkPAAg,Nanopubs converted from OpenBEL's Small and Large Corpus 20131211,2015-03-02T14:15:26.864-08:00,,2
http://np.inn.ac/RAKUB-H_7ATOS2wemqN2yXjGdOqqlYeOuAgy5WOgVQwpg,Nanopubs converted from OpenBEL's Small and Large Corpus 1.0,2015-03-02T14:15:26.520-08:00,,2
http://np.inn.ac/RAdw0S5f06-Ed2uXNISU-wbXmqvQ9-6hxd4fqIslT38Wg,Nanopubs converted from OpenBEL's Large Corpus 20131211,2015-03-02T14:14:20.019-08:00,http://np.inn.ac/RAi1bTtCH2aHSzpPu1rZXOUlH_ZXJtu6QYzZ-k_0j_m10,0
http://np.inn.ac/RAtF0ivB9B8cb-u3K_zElgmRBxiDwfym1yVBRY6VAyWvE,Nanopubs converted from OpenBEL's Small Corpus 20131211,2015-03-02T14:13:53.728-08:00,http://np.inn.ac/RA_E0B0JH7VtMMPuSOCFFfdYY8Wajkgn9OEju5umg5QiY,0
http://np.inn.ac/RAsmhDKpyhTORhvWOZZL_cfSVZUqLYJFl_AqF_xPN34Qw,Nanopubs converted from OpenBEL's Large Corpus 1.0,2015-03-02T14:13:51.755-08:00,http://np.inn.ac/RAW3VazBU7A9WgGYoo6TWZOehW7ikWm-HUilpMZCgwPd4,0
http://np.inn.ac/RAR7OfS-AqG9_XogObQZpWq6LaBsV95jeseJtscuwpwJo,Nanopubs converted from OpenBEL's Small Corpus 1.0,2015-03-02T14:13:34.011-08:00,http://np.inn.ac/RAruwibVARhoRMKh_uRo-WMnLhifmlYW8jT0qTzklcgSk,0
